date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:07	24800/24800	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:06%20GMT	https://lipeteste.dramanucaceres.com.br/robots.txt		(from )
11:51:08	131436/131436	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2014:51:07%20GMT	https://lipeteste.dramanucaceres.com.br/	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/index.html	(from )
11:51:09	34362/34362	---MCZ	200	added ('OK')	text/css	etag:W/%223876a439c3ded0910f2ab85f70beedf9%22	https://lipeteste.dramanucaceres.com.br/_next/static/css/fa568c94d0bd4e65.css?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/css/fa568c94d0bd4e65f693.css	(from https://lipeteste.dramanucaceres.com.br/)
11:51:10	6433/6433	---MCZ	200	added ('OK')	text/css	etag:W/%22384b927cede88bcf8adc882eefa49ed4%22	https://lipeteste.dramanucaceres.com.br/_next/static/css/15a460f12b20e8b4.css?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/css/15a460f12b20e8b4f693.css	(from https://lipeteste.dramanucaceres.com.br/)
11:51:11	40237/40237	---MCZ	200	added ('OK')	application/javascript	etag:W/%22eb716b618da94551416fe02eddd6db4f%22	https://lipeteste.dramanucaceres.com.br/_next/static/chunks/webpack-c57d87cb9f88f806.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/webpack-c57d87cb9f88f806f693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:12	172838/172838	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216d55c5dcdbc45c4a005576c9aa8c557%22	https://lipeteste.dramanucaceres.com.br/_next/static/chunks/37537744-2821b0a7f04c02af.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/37537744-2821b0a7f04c02aff693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:13	124317/124317	---MCZ	200	added ('OK')	application/javascript	etag:W/%228a16aa04552de259b8f912066343f60f%22	https://lipeteste.dramanucaceres.com.br/_next/static/chunks/76621-2ae6f69b13c31fc1.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/76621-2ae6f69b13c31fc1f693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:13	476/476	---M--	200	added ('OK')	application/javascript	etag:%22d0f7ab857f82155c9bfd006692833819%22	https://lipeteste.dramanucaceres.com.br/_next/static/chunks/main-app-14a9edcb07876a4f.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/main-app-14a9edcb07876a4ff693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:15	14295/14295	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a065ef6caa7f57b5c1e3a8e2ad7438f7%22	https://lipeteste.dramanucaceres.com.br/_next/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/14517-6d322daf571c69daf693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:16	1848/1848	---MCZ	200	added ('OK')	application/javascript	etag:W/%22704465f28bc0eddb1a7e5a9c36935175%22	https://lipeteste.dramanucaceres.com.br/_next/static/chunks/app/error-2b220ded0a8b9b67.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/app/error-2b220ded0a8b9b67f693.js	(from https://lipeteste.dramanucaceres.com.br/)
